2018/09/17/01:46:40 | F0 V 4.10 0.00
2018/09/17/01:46:40 | F0 W 2814.20 5103.35 1969.59 5306.74 5934.61 31084.34
2018/09/17/01:46:40 | F0 T 22.50 24.00
2018/09/17/01:46:40 | F0 D D5 9.36 0.11 24.2
2018/09/17/01:46:40 | FG T 22.19 23.00
2018/09/17/01:46:40 | FG D
2018/09/17/01:46:41 | F3 V 4.08 0.00
2018/09/17/01:46:41 | F3 W 1262.41 5429.93 13127.38 4876.40 19481.27 29245.65
2018/09/17/01:46:41 | F3 T 22.75 22.38
2018/09/17/01:46:41 | F3 D
2018/09/17/01:46:41 | F5 V 4.08 0.00
2018/09/17/01:46:41 | F5 W 2140.04 1528.93 28946.83 2058.94 4769.02 28996.32
2018/09/17/01:46:41 | F5 T 23.31 23.50
2018/09/17/01:46:41 | F5 D
2018/09/17/01:46:43 | F4 V 4.08 0.00
2018/09/17/01:46:43 | F4 W 1524.61 1455.78 528421.56 3009.75 9145.37 6255.31
2018/09/17/01:46:43 | F4 T 23.00 23.44
2018/09/17/01:46:43 | F4 D
2018/09/17/01:56:38 | FB V 4.08 0.00
2018/09/17/01:56:39 | F1 V 4.09 0.00
2018/09/17/01:56:39 | F1 W 5539.25 22339.38 29396.79 1713.75 21380.36 330999.47
2018/09/17/01:56:39 | F1 T 22.13 21.44
2018/09/17/01:56:39 | F1 D
2018/09/17/01:56:39 | FB W 2106.52 33104.10 33164.55 1345.70 22068.97 26579.36
2018/09/17/01:56:39 | F3 V 4.08 0.00
2018/09/17/01:56:39 | F3 W 1258.27 5360.36 13023.28 3222.77 19396.55 29045.80
2018/09/17/01:56:39 | F3 T 22.69 22.31
2018/09/17/01:56:39 | F3 D
2018/09/17/01:56:39 | FG V 4.09 0.00
2018/09/17/01:56:39 | FG W 4656.18 2063.69 69921.91 1660.34 23000.23 7874.21
2018/09/17/01:56:39 | FB T 21.25 21.13
2018/09/17/01:56:39 | FB D
2018/09/17/01:56:40 | F0 V 4.10 0.00
2018/09/17/01:56:40 | F0 W 2819.55 5110.81 1969.59 5322.02 5951.15 31194.78
2018/09/17/01:56:40 | F0 T 22.50 23.94
2018/09/17/01:56:40 | F0 D D5 9.36 0.11 24.2
2018/09/17/01:56:40 | FG T 22.13 23.00
2018/09/17/01:56:40 | FG D
2018/09/17/01:56:41 | F5 V 4.08 0.00
2018/09/17/01:56:41 | F5 W 2116.07 1554.97 28946.83 2063.68 4776.13 28996.32
2018/09/17/01:56:41 | F5 T 23.31 23.50
2018/09/17/01:56:41 | F5 D
2018/09/17/01:56:43 | F4 V 4.08 0.00
2018/09/17/01:56:43 | F4 W 1524.62 1455.78 528421.56 2993.23 9157.30 6263.94
2018/09/17/01:56:43 | F4 T 22.94 23.44
2018/09/17/01:56:43 | F4 D
2018/09/17/02:06:37 | FB V 4.08 0.00
2018/09/17/02:06:37 | FB W 2116.09 33164.55 33164.55 1303.88 22169.81 26666.66
2018/09/17/02:06:38 | FB T 21.19 21.00
2018/09/17/02:06:38 | FB D
2018/09/17/02:06:39 | F1 V 4.09 0.00
2018/09/17/02:06:39 | F1 W 5523.54 22339.38 29195.40 1718.21 21380.36 327332.84
2018/09/17/02:06:39 | F1 T 22.06 21.44
2018/09/17/02:06:39 | F1 D
2018/09/17/02:06:39 | FG V 4.09 0.00
2018/09/17/02:06:39 | FG W 4656.18 2073.20 69921.91 1660.34 24994.39 7884.62
2018/09/17/02:06:40 | F0 V 4.09 0.00
2018/09/17/02:06:40 | F0 W 2846.38 5125.69 1974.25 5352.68 5951.15 31194.78
2018/09/17/02:06:40 | F0 T 22.44 23.94
2018/09/17/02:06:40 | F0 D D5 9.37 0.11 24.2
2018/09/17/02:06:40 | FG T 22.06 22.94
2018/09/17/02:06:40 | FG D
2018/09/17/02:06:40 | F5 V 4.08 0.00
2018/09/17/02:06:40 | F5 W 2101.74 1541.94 28996.32 2063.68 4783.26 28996.32
2018/09/17/02:06:40 | F5 T 23.31 23.50
2018/09/17/02:06:40 | F5 D
2018/09/17/02:06:41 | F3 V 4.06 0.06
