2018/09/04/01:18:15 | F6 W 2577.87 2666.13 24677.96 1477.21 19538.07 27749.07
2018/09/04/01:18:15 | F6 T 26.31 85.00
2018/09/04/01:18:15 | F6 D 
2018/09/04/01:18:15 | F1 V 4.09 0.00
2018/09/04/01:18:15 | F1 W 4747.75 24638.91 29651.17 2577.87 23431.37 342758.94
2018/09/04/01:18:15 | F1 T 26.88 25.19
2018/09/04/01:18:15 | F1 D 
2018/09/04/01:18:15 | FB W 17328.63 36081.09 35199.02 20507.01 14630.85 32803.35
2018/09/04/01:18:15 | FB T -127.00 -127.00
2018/09/04/01:18:15 | FB D
2018/09/04/01:18:16 | F3 V 4.10 0.00
2018/09/04/01:18:16 | F3 W 12223.05 8828.23 31361.34 14473.68 21509.31 33593.93
2018/09/04/01:18:16 | F3 T 26.81 27.88
2018/09/04/01:18:16 | F3 D 
2018/09/04/01:18:17 | F0 V 4.10 0.00
2018/09/04/01:18:17 | F0 W 6429.35 6844.14 3098.59 9350.58 306458.66 34803.11
2018/09/04/01:18:17 | F0 T 26.69 27.63
2018/09/04/01:18:17 | F0 D D5 7.78 0.09 27.4
2018/09/04/01:18:17 | F5 V 4.09 0.00
2018/09/04/01:18:17 | F5 W 2077.93 14930.98 22649.01 1872.34 24914.67 29702.59
2018/09/04/01:18:17 | F5 T 27.13 26.88
2018/09/04/01:18:17 | F5 D 
2018/09/04/01:18:20 | F4 V 4.08 0.00
2018/09/04/01:18:20 | F4 W 1387.76 342758.94 3400003.30 3640.00 23000.00 23986.71
2018/09/04/01:18:20 | F4 T 26.69 26.75
2018/09/04/01:18:20 | F4 D 
2018/09/04/01:28:13 | FB V 4.09 0.00
2018/09/04/01:28:13 | FG V 4.10 0.00
2018/09/04/01:28:14 | FB W 17328.63 36150.59 35199.02 20537.31 14650.60 32803.35
2018/09/04/01:28:14 | FB T -127.00 -127.00
2018/09/04/01:28:14 | FB D
2018/09/04/01:28:14 | FG W 3981.78 36500.00 29045.80 1528.93 14710.14 23358.77
2018/09/04/01:28:15 | FG T 25.75 26.50
2018/09/04/01:28:15 | FG D
2018/09/04/01:28:15 | F6 V 4.10 0.00
2018/09/04/01:28:15 | F6 W 2557.29 2666.13 24677.96 1481.49 19538.07 27749.07
2018/09/04/01:28:15 | F6 T 26.31 26.56
2018/09/04/01:28:15 | F6 D 
2018/09/04/01:28:15 | F1 V 4.09 0.00
2018/09/04/01:28:15 | F1 W 4719.44 24367.39 29346.15 1417.42 23322.47 330999.47
2018/09/04/01:28:15 | F1 T 26.88 25.13
2018/09/04/01:28:15 | F1 D 
2018/09/04/01:28:17 | F0 V 4.10 0.00
2018/09/04/01:28:17 | F0 W 6359.28 6724.80 1886.14 9229.32 293921.84 34285.71
2018/09/04/01:28:17 | F0 T 26.63 27.56
2018/09/04/01:28:17 | F0 D D5 7.78 0.09 27.4
2018/09/04/01:28:17 | F5 V 4.09 0.00
2018/09/04/01:28:17 | F5 W 2073.20 14930.98 22649.01 1863.17 24914.67 29754.02
2018/09/04/01:28:17 | F5 T 27.06 26.88
2018/09/04/01:28:17 | F5 D 
2018/09/04/01:28:20 | F4 V 4.08 0.00
2018/09/04/01:28:20 | F4 W 1383.53 338839.09 3400003.30 3700.90 22929.26 23874.18
2018/09/04/01:28:20 | F4 T 26.69 26.75
2018/09/04/01:28:20 | F4 D 
2018/09/04/01:38:13 | FG V 4.10 0.00
2018/09/04/01:38:14 | FG W 3975.43 36500.00 29045.80 1533.27 14730.09 23358.77
2018/09/04/01:38:15 | FG T 25.69 26.50
2018/09/04/01:38:15 | FG D
2018/09/04/01:38:15 | FB V 4.08 0.00
2018/09/04/01:38:15 | F6 V 4.10 0.00
2018/09/04/01:38:15 | F6 W 2547.02 2676.59 24677.96 1481.49 19538.07 27749.07
2018/09/04/01:38:15 | F6 T 26.31 26.56
2018/09/04/01:38:15 | F6 D 
2018/09/04/01:38:15 | F1 V 4.09 0.00
2018/09/04/01:38:15 | F1 W 4719.44 24328.86 29195.40 1362.46 23322.47 330999.47
2018/09/04/01:38:15 | F1 T 26.81 25.06
2018/09/04/01:38:15 | F1 D 
2018/09/04/01:38:15 | FB W 17377.38 36220.09 35199.02 20507.01 14670.45 32803.35
2018/09/04/01:38:15 | FB T -127.00 -127.00
2018/09/04/01:38:15 | FB D
2018/09/04/01:38:15 | F3 V 4.10 0.00
2018/09/04/01:38:15 | F3 W 12126.92 8862.95 31417.01 14493.25 21574.07 33655.94
2018/09/04/01:38:15 | F3 T 26.75 27.75
2018/09/04/01:38:15 | F3 D 
2018/09/04/01:38:15 | F3 V 4.10 0.00
2018/09/04/01:38:15 | F3 W 12223.05 8851.37 31417.01 14473.78 21541.69 33531.91
2018/09/04/01:38:15 | F3 T 26.75 27.81
2018/09/04/01:38:15 | F3 D 
2018/09/04/01:38:17 | F0 V 4.10 0.00
2018/09/04/01:38:17 | F0 W 6359.28 6706.60 1763.14 9229.37 290882.63 34285.71
2018/09/04/01:38:17 | F0 T 26.63 27.56
2018/09/04/01:38:17 | F0 D D5 7.78 0.09 27.4
2018/09/04/01:38:17 | F5 V 4.08 0.00
2018/09/04/01:38:17 | F5 W 2058.95 14890.51 22069.18 1858.58 24914.67 29702.59
